identifier,category,subcategory,notes,hide_in_spends
17-1085,Outreach,Events/Conference Attendance & Side Events,,0
17-1086,Outreach,Events/Conference Attendance & Side Events,,0
43-1190,,Events/Conference Attendance & Side Events,,0
17-1215,Outreach,Events/Conference Attendance & Side Events,,0
17-1686,Outreach,Events/Conference Attendance & Side Events,,0
17-1687,Outreach,Events/Conference Attendance & Side Events,,0
17-1746,Outreach,Events/Conference Attendance & Side Events,,0
17-1748,Outreach,Events/Conference Attendance & Side Events,,0
17-1750,Outreach,Events/Conference Attendance & Side Events,,0
17-1767,Outreach,Events/Conference Attendance & Side Events,,0
17-1768,Outreach,Events/Conference Attendance & Side Events,,0
17-1834,Outreach,Events/Conference Attendance & Side Events,,0
17-1990,Outreach,Events/Conference Attendance & Side Events,,0
17-2183,Outreach,Events/Conference Attendance & Side Events,,0
17-2252,Outreach,Events/Conference Attendance & Side Events,,0
43-2401,,Events/Conference Attendance & Side Events,,0
17-2422,Outreach,Events/Conference Attendance & Side Events,,0
17-2447,Outreach,Events/Conference Attendance & Side Events,,0
17-2563,Outreach,Events/Conference Attendance & Side Events,,0
17-2668,Outreach,Events/Conference Attendance & Side Events,,0
17-2673,Outreach,Events/Conference Attendance & Side Events,,0
17-2868,Outreach,Events/Conference Attendance & Side Events,,0
17-2883,Outreach,Events/Conference Attendance & Side Events,,0
17-2884,Outreach,Events/Conference Attendance & Side Events,,0
17-2911,Outreach,Events/Conference Attendance & Side Events,,0
17-3136,Outreach,Events/Conference Attendance & Side Events,,0
17-3138,Outreach,Events/Conference Attendance & Side Events,,0
43-3217,,Events/Conference Attendance & Side Events,,0
17-3349,Outreach,Events/Conference Attendance & Side Events,,0
17-3350,Outreach,Events/Conference Attendance & Side Events,,0
17-3367,Outreach,Events/Conference Attendance & Side Events,,0
17-3375,Outreach,Events/Conference Attendance & Side Events,,0
17-3377,Outreach,Events/Conference Attendance & Side Events,,0
17-3590,Outreach,Events/Conference Attendance & Side Events,,0
17-3592,Outreach,Events/Conference Attendance & Side Events,,0
43-3601,,Events/Conference Attendance & Side Events,,0
17-3606,Outreach,Events/Conference Attendance & Side Events,,0
17-3803,Outreach,Events/Conference Attendance & Side Events,,0
17-3804,Outreach,Events/Conference Attendance & Side Events,,0
43-3814,,Events/Conference Attendance & Side Events,,0
43-3815,,Events/Conference Attendance & Side Events,,0
17-3872,Outreach,Events/Conference Attendance & Side Events,,0
17-3873,Outreach,Events/Conference Attendance & Side Events,,0
17-3874,Outreach,Events/Conference Attendance & Side Events,,0
17-3879,Outreach,Events/Conference Attendance & Side Events,,0
43-3884,,Events/Conference Attendance & Side Events,,0
17-3891,Outreach,Events/Conference Attendance & Side Events,,0
43-3925,,Events/Conference Attendance & Side Events,,0
43-3926,,Events/Conference Attendance & Side Events,,0
17-3929,Outreach,Events/Conference Attendance & Side Events,,0
43-3932,,Events/Conference Attendance & Side Events,,0
43-3935,,Events/Conference Attendance & Side Events,,0
17-4101,Outreach,Events/Conference Attendance & Side Events,,0
17-4110,Outreach,Events/Conference Attendance & Side Events,,0
17-1,Outreach,Events/Conference Attendance & Side Events,,0
17-4,Outreach,Events/Conference Attendance & Side Events,,0
17-5,Outreach,Events/Conference Attendance & Side Events,,0
17-10,Outreach,Events/Conference Attendance & Side Events,,0
17-12,Outreach,Events/Conference Attendance & Side Events,,0
17-9,Outreach,Events/Conference Attendance & Side Events,,0
17-14,Outreach,Events/Conference Attendance & Side Events,,0
17-19,Outreach,Events/Conference Attendance & Side Events,,0
17-20,Outreach,Events/Conference Attendance & Side Events,,0
17-23,Outreach,Events/Conference Attendance & Side Events,,0
43-64,,Events/Conference Attendance & Side Events,,0
17-42,Outreach,Events/Conference Attendance & Side Events,,0
17-44,Outreach,Events/Conference Attendance & Side Events,,0
17-45,Outreach,Events/Conference Attendance & Side Events,,0
17-50,Outreach,Events/Conference Attendance & Side Events,,0
17-51,Outreach,Events/Conference Attendance & Side Events,,0
17-62,Outreach,Events/Conference Attendance & Side Events,,0
17-63,Outreach,Events/Conference Attendance & Side Events,,0
17-64,Outreach,Events/Conference Attendance & Side Events,,0
17-65,Outreach,Events/Conference Attendance & Side Events,,0
17-68,Outreach,Events/Conference Attendance & Side Events,,0
