Extrinsic ID,Date,Block,Hash,Symbol,From,To,Value,Result,year-month,quarter
6840448-0,2024-08-05 12:28:54,6840448,0x7ae360758d574eb586c420aa3cbb32e7e20063067e5e990217d5d19c96ccf6bc,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,187849,TRUE,2024-08,2024-Q3
6840458-0,2024-08-05 12:30:54,6840458,0x8c7187824623c2dcd81c72fa3869ee7b8389836be1bf232d28d9967c9acdd1fd,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2024-08,2024-Q3
6840459-0,2024-08-05 12:31:06,6840459,0x767f05e6c112a3958e389ff6b7455aab92e98e578a77d6aad578fd651a4b2140,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2024-08,2024-Q3
6939258-0,2024-08-19 11:08:18,6939258,0x1a09a7926588d7bc8201f8b9d1a7a0955e4e3df2a2fe63187d90d3993e77f2e5,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2024-08,2024-Q3
7151426-0,2024-09-18 13:49:48,7151426,0xcc3c76bedf0639629458a9fe214dbc136fb6fcb1517bf85efb1655da97dcf790,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2024-09,2024-Q3
7151427-0,2024-09-18 13:50:00,7151427,0x4a474d77f5b4f4f82d7e03085ae68d73ec9d3c9c75dcafb26ab7fa9c1de96532,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,158656,TRUE,2024-09,2024-Q3
7383155-0,2024-10-21 05:28:30,7383155,0x5f2e779c79ad68b109132d88ffdd48da14e14d0a0be8cd3b318f70e42087fb08,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2024-10,2024-Q4
7592412-0,2024-11-19 14:15:06,7592412,0xe321c6029cf70423c61c08152f026235e87833511df34360c6b582b3757ed772,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2024-11,2024-Q4
7834725-0,2024-12-23 15:44:30,7834725,0xdf7b8bcc12a0ca2e277b1562f7bfe9bf4a0affd7c9ac8f93bae9895351761b3b,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2024-12,2024-Q4
8011391-0,2025-01-17 09:00:24,8011391,0x90e6dbfb5b2533c2b0050833d28eeb433b07b126e5a9e8c4de8a18cffac4e33b,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2025-01,2025-Q1
8255466-0,2025-02-20 13:55:54,8255466,0x7b68272f67e80895ead6bcb70665e01af68b8cc84f7472c38bd7aa82ddf477f6,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,129Uxho5oKBz6js8dwjoQLzLjYsEs4ZLBtS7KRotQbunVNfP,13221,TRUE,2025-02,2025-Q1
8418081-0,2025-03-15 08:21:00,8418081,0x81a798fc2c7645a938b37a21d607b3e03036d2b9652e80145b559fdfb810467f,DOT,14xmwinmCEz6oRrFdczHKqHgWNMiCysE2KrA4jXXAAM1Eogk,13w5qyCGFJaf3mdcWfCK2RV6UhGafwD23j71DBa8Yk3K1k4r,198750,TRUE,2025-03,2025-Q1
